num_nodes,p,noise_scale,rank_correl,wealth gini,gini- directly connected,gini- not directly connected,gini- weakly connected,gini- not weakly connected,gini- income-wealth match,gini- no income wealth match
10,0.35,0.0,0.8545454545454544,292602.1111111111,235177.0909090909,301895.76923076925,292602.1111111111,,235177.0909090909,
10,0.35,0.0,0.9636363636363635,383202.6222222222,277012.55555555556,398659.20588235295,383202.6222222222,,277012.55555555556,
10,0.35,0.0,0.9757575757575757,389697.1777777778,325090.5714285714,387977.3,389697.1777777778,,325090.5714285714,
10,0.35,0.0,0.8303030303030302,353999.1777777778,412075.0,324448.4285714286,353999.1777777778,,412075.0,
10,0.35,0.0,0.7696969696969697,294666.44444444444,301099.6666666667,293026.8378378378,294666.44444444444,,301099.6666666667,
10,0.35,0.0,0.9030303030303028,289552.6,222831.8,314560.5945945946,289552.6,,222831.8,
10,0.35,0.0,0.9636363636363635,261497.77777777778,218208.7142857143,260013.1,261497.77777777778,,218208.7142857143,
10,0.35,0.0,0.9393939393939393,349994.2,334556.8125,355123.3333333333,349994.2,,334556.8125,
10,0.35,0.0,0.8060606060606059,308294.13333333336,282834.55555555556,318325.1951219512,323240.1111111111,248510.22222222222,282834.55555555556,
10,0.35,0.05,0.8181818181818182,320021.4888888889,294499.92307692306,317527.125,335440.05555555556,258347.22222222222,294499.92307692306,
10,0.35,0.05,0.9757575757575757,299939.44444444444,300200.4583333333,331046.1176470588,299939.44444444444,,300200.4583333333,
10,0.35,0.05,0.8787878787878788,361206.2444444444,329551.8333333333,381446.6666666667,361206.2444444444,,347057.29411764705,31959.0
10,0.35,0.05,0.9393939393939393,366084.5111111111,384673.3,379339.3846153846,366084.5111111111,,403106.1052631579,34450.0
10,0.35,0.05,0.8060606060606059,228141.7111111111,244215.2142857143,228233.44444444444,228141.7111111111,,244215.2142857143,
10,0.35,0.05,0.7696969696969697,380396.84444444446,292151.6923076923,388690.225,380396.84444444446,,310238.4166666667,75111.0
10,0.35,0.05,0.49090909090909085,351106.5333333333,331407.0,348781.29411764705,329707.55555555556,436702.44444444444,385681.9166666667,5757.5
10,0.35,0.05,0.9636363636363635,305209.13333333336,394464.375,294146.92307692306,326169.0,221369.66666666666,394464.375,
10,0.35,0.05,0.709090909090909,285671.6,305931.4666666667,276359.7894736842,285671.6,,305931.4666666667,
10,0.35,0.05,0.9151515151515152,384981.8,391561.15,371098.3157894737,384981.8,,411202.2631578947,18380.0
10,0.35,0.1,0.7939393939393938,342080.2888888889,488928.8333333333,298517.8888888889,342080.2888888889,,488928.8333333333,
10,0.35,0.1,0.9757575757575757,302122.6,290974.9411764706,313495.4736842105,302122.6,,309154.875,96.0
10,0.35,0.1,0.9515151515151514,362804.2444444444,324259.1176470588,367130.5588235294,362804.2444444444,,324259.1176470588,
10,0.35,0.1,0.8424242424242423,294469.77777777775,290830.73333333334,282088.85,294469.77777777775,,290830.73333333334,
10,0.35,0.1,0.5393939393939393,339891.73333333334,344131.64705882355,361661.30303030304,340720.72222222225,336575.77777777775,399440.0714285714,86025.66666666667
